Coordinates,Traffic,Passenger Frequency,Landmark Proximity
"[16.40962829, 120.59835557]",0.4,4.0,False
"[16.40975915, 120.59835154]",0.2,9.0,False
"[16.40987764, 120.59843001]",0.8,4.0,False
"[16.40994376, 120.5985297]",0.1,1.0,False
"[16.41002358, 120.59860222]",0.3,5.0,False
"[16.4100711, 120.5987151]",0.4,8.0,False
"[16.41015846, 120.59879243]",1.0,6.0,False
"[16.41027129, 120.59884512]",0.3,6.0,False
"[16.4103468, 120.59894149]",0.0,7.0,True
"[16.41041987, 120.5990018]",0.5,8.0,True
"[16.4105145, 120.59903853]",0.1,4.0,False
"[16.41059577, 120.59912171]",0.2,3.0,False
"[16.410721, 120.5991392]",0.3,7.0,False
"[16.41086173, 120.59912849]",0.2,3.0,False
"[16.41095745, 120.59915379]",0.6,2.0,False
"[16.41095072, 120.59925517]",0.7,8.0,True
"[16.41082667, 120.59934805]",0.2,9.0,False
"[16.41068376, 120.5994309]",0.0,5.0,True
"[16.41058643, 120.59947973]",0.5,1.0,False
"[16.41046618, 120.59951753]",0.6,3.0,True
"[16.41033274, 120.59957045]",0.3,4.0,True
"[16.41018862, 120.59963579]",0.1,7.0,True
"[16.41005455, 120.59970469]",0.1,9.0,True
"[16.40994566, 120.59976693]",0.2,5.0,False
"[16.40981829, 120.59984419]",0.2,5.0,False
"[16.40967477, 120.59988365]",0.0,10.0,True
"[16.4095455, 120.59991428]",0.3,3.0,False
"[16.4094299, 120.59993501]",1.0,6.0,True
"[16.40933817, 120.59996321]",0.2,7.0,False
"[16.40924925, 120.59998022]",0.3,6.0,True
"[16.4091558, 120.59999573]",0.9,3.0,False
"[16.4090664, 120.60002721]",0.0,9.0,True
"[16.408947, 120.60005231]",0.0,8.0,True
"[16.40877303, 120.60009405]",0.7,8.0,True
"[16.40860575, 120.60009755]",0.1,1.0,True
"[16.40849141, 120.60007971]",0.7,3.0,True
"[16.40837174, 120.60008038]",0.5,8.0,True
"[16.40828378, 120.60011119]",0.0,2.0,True
"[16.40818889, 120.60014816]",0.7,1.0,True
"[16.40803233, 120.60020169]",0.3,3.0,False
"[16.40791136, 120.60026368]",0.8,3.0,True
"[16.40774626, 120.60030529]",0.4,9.0,True
"[16.40763212, 120.60034373]",0.5,6.0,True
"[16.40749217, 120.60039633]",0.7,9.0,True
"[16.40739547, 120.60050755]",0.8,8.0,False
"[16.4074013, 120.60060243]",0.5,2.0,True
"[16.40754033, 120.60063534]",0.9,6.0,True
"[16.40758827, 120.60071558]",0.6,9.0,True
"[16.40771324, 120.60072481]",0.3,4.0,False
"[16.40783284, 120.6007482]",0.9,9.0,True
"[16.40796628, 120.60075024]",0.1,10.0,True
"[16.40806775, 120.60081866]",0.7,4.0,True
"[16.40818328, 120.60090639]",0.2,4.0,True
"[16.40829491, 120.60101992]",0.0,7.0,False
"[16.4083277, 120.60111093]",0.2,6.0,False
"[16.40851232, 120.601303]",0.1,7.0,False
"[16.4085889, 120.60147716]",0.1,1.0,False
"[16.40864819, 120.60160779]",0.6,2.0,False
"[16.40871737, 120.6017029]",0.7,7.0,False
"[16.40879489, 120.60180118]",0.4,4.0,True
