Coordinates,Latitude,Longitude
"[16.40962829, 120.59835557]",16.40962829,120.59835557
"[16.40975915, 120.59835154]",16.40975915,120.59835154
"[16.40987764, 120.59843001]",16.40987764,120.59843001
"[16.40994376, 120.5985297]",16.40994376,120.5985297
"[16.41002358, 120.59860222]",16.41002358,120.59860222
"[16.4100711, 120.5987151]",16.4100711,120.5987151
"[16.41015846, 120.59879243]",16.41015846,120.59879243
"[16.41027129, 120.59884512]",16.41027129,120.59884512
"[16.4103468, 120.59894149]",16.4103468,120.59894149
"[16.41041987, 120.5990018]",16.41041987,120.5990018
"[16.4105145, 120.59903853]",16.4105145,120.59903853
"[16.41059577, 120.59912171]",16.41059577,120.59912171
"[16.410721, 120.5991392]",16.410721,120.5991392
"[16.41086173, 120.59912849]",16.41086173,120.59912849
"[16.41095745, 120.59915379]",16.41095745,120.59915379
"[16.41095072, 120.59925517]",16.41095072,120.59925517
"[16.41082667, 120.59934805]",16.41082667,120.59934805
"[16.41068376, 120.5994309]",16.41068376,120.5994309
"[16.41058643, 120.59947973]",16.41058643,120.59947973
"[16.41046618, 120.59951753]",16.41046618,120.59951753
"[16.41033274, 120.59957045]",16.41033274,120.59957045
"[16.41018862, 120.59963579]",16.41018862,120.59963579
"[16.41005455, 120.59970469]",16.41005455,120.59970469
"[16.40994566, 120.59976693]",16.40994566,120.59976693
"[16.40981829, 120.59984419]",16.40981829,120.59984419
"[16.40967477, 120.59988365]",16.40967477,120.59988365
"[16.4095455, 120.59991428]",16.4095455,120.59991428
"[16.4094299, 120.59993501]",16.4094299,120.59993501
"[16.40933817, 120.59996321]",16.40933817,120.59996321
"[16.40924925, 120.59998022]",16.40924925,120.59998022
"[16.4091558, 120.59999573]",16.4091558,120.59999573
"[16.4090664, 120.60002721]",16.4090664,120.60002721
"[16.408947, 120.60005231]",16.408947,120.60005231
"[16.40877303, 120.60009405]",16.40877303,120.60009405
"[16.40860575, 120.60009755]",16.40860575,120.60009755
"[16.40849141, 120.60007971]",16.40849141,120.60007971
"[16.40837174, 120.60008038]",16.40837174,120.60008038
"[16.40828378, 120.60011119]",16.40828378,120.60011119
"[16.40818889, 120.60014816]",16.40818889,120.60014816
"[16.40803233, 120.60020169]",16.40803233,120.60020169
"[16.40791136, 120.60026368]",16.40791136,120.60026368
