Coordinates,Traffic,Passenger Frequency,Landmark Proximity
"[16.44914, 120.59051]",0.88,1.45,False
"[16.44912, 120.59051]",0.68,2.21,False
"[16.44894, 120.5905]",0.82,3.16,True
"[16.44876, 120.59049]",0.99,4.76,True
"[16.44858, 120.59048]",0.82,1.08,True
"[16.44844, 120.59047]",0.94,2.29,False
"[16.44839, 120.59042]",0.99,2.99,True
"[16.44818, 120.59038]",0.76,4.12,False
"[16.4481, 120.59039]",0.75,1.1,True
"[16.44802, 120.59041]",0.61,4.58,False
"[16.44796, 120.59042]",0.98,1.89,False
"[16.44788, 120.59044]",0.73,2.69,False
"[16.44779, 120.59048]",0.83,1.28,False
"[16.44778, 120.59048]",0.93,2.91,False
"[16.44747, 120.59064]",0.8,4.64,True
"[16.44711, 120.59082]",0.74,3.0,False
"[16.4468, 120.59099]",0.99,4.75,False
"[16.44652, 120.59109]",0.63,2.11,True
"[16.44631, 120.59115]",0.93,1.77,True
"[16.44626, 120.59116]",0.8,4.15,True
"[16.44609, 120.59119]",0.82,4.41,False
"[16.44608, 120.59119]",0.86,2.47,True
"[16.44605, 120.59124]",0.71,3.98,False
"[16.44593, 120.59128]",0.71,2.59,False
"[16.44584, 120.5913]",0.6,4.17,False
"[16.44568, 120.59134]",0.81,4.0,False
"[16.44562, 120.59136]",0.9,1.06,True
"[16.44529, 120.59143]",0.8,4.8,False
"[16.44508, 120.59148]",1.0,4.04,False
"[16.44497, 120.5915]",0.61,4.12,False
"[16.44489, 120.59147]",0.89,4.2,True
"[16.44431, 120.59159]",0.98,4.29,False
"[16.4443, 120.59159]",1.0,1.15,False
"[16.44426, 120.5916]",0.92,2.78,False
"[16.44401, 120.59175]",0.78,4.08,True
"[16.44382, 120.59187]",0.78,2.19,False
"[16.44368, 120.59195]",0.76,4.03,False
"[16.44353, 120.59205]",0.75,3.45,False
"[16.44325, 120.59222]",0.96,2.71,False
"[16.44302, 120.59236]",0.74,4.19,True
"[16.4426, 120.59264]",0.7,3.89,True
"[16.4425, 120.59271]",0.68,1.85,True
"[16.44229, 120.59286]",0.77,3.72,True
"[16.44209, 120.59299]",0.65,3.37,False
"[16.44208, 120.593]",0.75,1.81,False
"[16.442, 120.59305]",0.69,3.56,False
"[16.44189, 120.59313]",0.71,1.07,True
"[16.44136, 120.59353]",0.78,1.58,True
"[16.4413, 120.59359]",0.75,3.99,False
"[16.44128, 120.59361]",1.0,2.94,True
"[16.44121, 120.59368]",0.85,2.4,True
"[16.4409, 120.59411]",0.84,3.65,False
"[16.44089, 120.59412]",0.63,4.15,True
"[16.44069, 120.59443]",0.89,3.16,False
"[16.4406, 120.59455]",0.62,2.09,True
"[16.44056, 120.59462]",0.74,4.65,True
"[16.44048, 120.59469]",0.77,3.17,True
"[16.44036, 120.59475]",0.99,3.29,True
"[16.4403, 120.59477]",0.77,3.16,False
"[16.44023, 120.59478]",0.69,4.16,True
"[16.44018, 120.59478]",0.77,3.49,False
"[16.44016, 120.59478]",0.89,1.24,True
"[16.44001, 120.59477]",0.66,1.92,True
"[16.43972, 120.5947]",0.74,3.34,False
"[16.43964, 120.59472]",0.78,4.52,False
"[16.43946, 120.5947]",0.82,1.21,False
"[16.43928, 120.59468]",0.85,3.04,False
"[16.43916, 120.59467]",0.8,3.63,False
"[16.4391, 120.59467]",0.94,4.98,True
"[16.43892, 120.59468]",0.91,2.77,True
"[16.43889, 120.59468]",0.97,2.94,True
"[16.43874, 120.5947]",0.81,1.45,True
"[16.43856, 120.59473]",0.63,2.7,True
"[16.4385, 120.59473]",0.85,2.7,True
"[16.43838, 120.59476]",0.63,3.53,False
"[16.43834, 120.59477]",0.89,4.24,False
"[16.43823, 120.59479]",0.74,2.6,True
"[16.43803, 120.59485]",0.77,1.13,True
"[16.43755, 120.595]",0.95,2.92,True
"[16.43735, 120.59508]",0.63,2.67,True
"[16.43725, 120.59512]",0.73,2.2,True
"[16.4371, 120.59519]",0.67,3.91,False
"[16.43682, 120.5953]",0.88,2.34,False
"[16.43641, 120.59542]",0.75,1.94,True
