Coordinates,Traffic,Passenger Frequency,Landmark Proximity
"[16.40962829, 120.59835557]",0.77,1.8,False
"[16.40975915, 120.59835154]",0.63,1.36,False
"[16.40987764, 120.59843001]",0.97,4.72,False
"[16.40994376, 120.5985297]",0.95,2.02,False
"[16.41002358, 120.59860222]",0.87,3.97,False
"[16.4100711, 120.5987151]",0.73,1.56,False
"[16.41015846, 120.59879243]",0.84,3.66,False
"[16.41027129, 120.59884512]",0.76,1.92,False
"[16.4103468, 120.59894149]",0.66,4.17,True
"[16.41041987, 120.5990018]",0.89,3.66,True
"[16.4105145, 120.59903853]",0.84,4.2,False
"[16.41059577, 120.59912171]",0.77,2.25,False
"[16.410721, 120.5991392]",0.76,3.88,False
"[16.41086173, 120.59912849]",0.77,1.88,False
"[16.41095745, 120.59915379]",0.94,3.17,False
"[16.41095072, 120.59925517]",0.96,3.02,True
"[16.41082667, 120.59934805]",0.98,1.17,False
"[16.41068376, 120.5994309]",0.64,1.16,True
"[16.41058643, 120.59947973]",0.63,3.26,False
"[16.41046618, 120.59951753]",0.73,1.84,True
"[16.41033274, 120.59957045]",0.98,4.82,True
"[16.41018862, 120.59963579]",0.96,3.82,True
"[16.41005455, 120.59970469]",0.93,1.0,True
"[16.40994566, 120.59976693]",0.8,4.66,False
"[16.40981829, 120.59984419]",0.64,2.75,False
"[16.40967477, 120.59988365]",0.71,1.16,True
"[16.4095455, 120.59991428]",0.77,1.08,False
"[16.4094299, 120.59993501]",0.73,3.1,True
"[16.40933817, 120.59996321]",0.87,3.73,False
"[16.40924925, 120.59998022]",0.78,3.22,True
"[16.4091558, 120.59999573]",0.98,1.39,False
"[16.4090664, 120.60002721]",0.9,3.02,True
"[16.408947, 120.60005231]",0.92,4.1,True
"[16.40877303, 120.60009405]",0.91,2.86,True
"[16.40860575, 120.60009755]",0.88,1.02,True
"[16.40849141, 120.60007971]",0.7,2.13,True
"[16.40837174, 120.60008038]",0.87,4.58,True
"[16.40828378, 120.60011119]",0.8,1.65,True
"[16.40818889, 120.60014816]",0.89,3.77,True
"[16.40803233, 120.60020169]",0.73,2.07,False
"[16.40791136, 120.60026368]",0.81,1.26,True
"[16.40774626, 120.60030529]",0.88,3.64,True
"[16.40763212, 120.60034373]",0.84,2.88,True
"[16.40749217, 120.60039633]",1.0,2.37,True
"[16.40739547, 120.60050755]",0.68,3.04,False
"[16.4074013, 120.60060243]",0.73,4.92,True
"[16.40754033, 120.60063534]",1.0,4.45,True
"[16.40758827, 120.60071558]",0.92,2.4,True
"[16.40771324, 120.60072481]",0.77,2.32,False
"[16.40783284, 120.6007482]",0.96,4.22,True
"[16.40796628, 120.60075024]",0.85,4.8,True
"[16.40806775, 120.60081866]",0.96,4.35,True
"[16.40818328, 120.60090639]",0.63,1.73,True
"[16.40829491, 120.60101992]",0.8,3.64,False
"[16.4083277, 120.60111093]",0.96,4.32,False
"[16.40851232, 120.601303]",0.73,2.78,False
"[16.4085889, 120.60147716]",0.78,1.91,False
"[16.40864819, 120.60160779]",0.89,4.49,False
"[16.40871737, 120.6017029]",0.78,2.8,False
