Coordinates,Traffic,Passenger Frequency,Landmark Proximity
"[16.44914, 120.59051]",0.89,2.53,False
"[16.44912, 120.59051]",0.84,3.03,False
"[16.44894, 120.5905]",0.97,3.85,True
"[16.44876, 120.59049]",0.95,3.93,True
"[16.44858, 120.59048]",0.85,2.25,True
"[16.44844, 120.59047]",0.96,2.14,False
"[16.44839, 120.59042]",0.89,2.75,True
"[16.44818, 120.59038]",0.81,2.16,False
"[16.4481, 120.59039]",0.97,3.87,True
"[16.44802, 120.59041]",0.86,1.29,False
"[16.44796, 120.59042]",0.92,2.46,False
"[16.44788, 120.59044]",0.89,3.69,False
"[16.44779, 120.59048]",0.93,3.65,False
"[16.44778, 120.59048]",0.83,2.69,False
"[16.44747, 120.59064]",0.82,3.4,True
"[16.44711, 120.59082]",0.83,3.62,False
"[16.4468, 120.59099]",0.83,3.56,False
"[16.44652, 120.59109]",0.81,1.7,True
"[16.44631, 120.59115]",0.89,1.45,True
"[16.44626, 120.59116]",0.82,1.64,True
"[16.44609, 120.59119]",0.91,1.1,False
"[16.44608, 120.59119]",0.99,3.78,True
"[16.44605, 120.59124]",0.85,2.79,False
"[16.44593, 120.59128]",0.98,1.45,False
"[16.44584, 120.5913]",0.9,3.38,False
"[16.44568, 120.59134]",0.91,2.23,False
"[16.44562, 120.59136]",0.83,3.74,True
"[16.44529, 120.59143]",0.98,1.45,False
"[16.44508, 120.59148]",0.81,1.36,False
"[16.44497, 120.5915]",1.0,2.2,False
"[16.44489, 120.59147]",0.96,2.05,True
"[16.44431, 120.59159]",0.83,3.68,False
"[16.4443, 120.59159]",0.81,1.33,False
"[16.44426, 120.5916]",0.85,3.21,False
"[16.44401, 120.59175]",0.98,3.68,True
"[16.44382, 120.59187]",0.93,2.87,False
"[16.44368, 120.59195]",0.81,2.36,False
"[16.44353, 120.59205]",0.81,3.12,False
"[16.44325, 120.59222]",0.86,2.35,False
"[16.44302, 120.59236]",0.86,2.32,True
"[16.4426, 120.59264]",0.86,1.0,True
"[16.4425, 120.59271]",0.83,1.33,True
"[16.44229, 120.59286]",0.84,1.86,True
"[16.44209, 120.59299]",0.93,2.94,False
"[16.44208, 120.593]",0.89,1.32,False
"[16.442, 120.59305]",0.88,3.23,False
"[16.44189, 120.59313]",0.98,3.53,True
"[16.44136, 120.59353]",0.88,1.06,True
"[16.4413, 120.59359]",0.83,1.65,False
"[16.44128, 120.59361]",0.96,3.63,True
"[16.44121, 120.59368]",0.92,3.76,True
"[16.4409, 120.59411]",0.88,2.29,False
"[16.44089, 120.59412]",0.81,1.28,True
"[16.44069, 120.59443]",0.95,3.68,False
"[16.4406, 120.59455]",0.96,3.53,True
"[16.44056, 120.59462]",0.96,3.48,True
"[16.44048, 120.59469]",0.97,1.17,True
"[16.44036, 120.59475]",0.96,3.85,True
"[16.4403, 120.59477]",0.92,1.91,False
"[16.44023, 120.59478]",0.89,2.64,True
"[16.44018, 120.59478]",0.96,2.9,False
"[16.44016, 120.59478]",0.93,2.69,True
"[16.44001, 120.59477]",0.82,3.9,True
"[16.43972, 120.5947]",0.86,1.97,False
"[16.43964, 120.59472]",0.99,3.07,False
"[16.43946, 120.5947]",0.86,1.59,False
"[16.43928, 120.59468]",0.97,2.89,False
"[16.43916, 120.59467]",0.9,3.39,False
"[16.4391, 120.59467]",0.83,2.52,True
